kb_id,kb_title,kb_category,chunk_excerpt,language,created_at
92d7f914-bf9e-43b0-9769-92aacbcc2ef6,"2ème partie.doc",google_drive,"حيازي بحيث ان حيازة العقار تبقي للمدين. والرهن العقاري يمكن ان يكون قانونيا() الي جانب كونه اتفاقي. وينقضي الرهن العقاري تبعيا باعتباره تامينا عينيا مخصّص لضمان الوفاء بالتزام بانقضاء الالتزام الاصلي() واصليا بتنازل الدائن عنه وباتمام الاجراءات والشروط التي يفرضها القانون علي واضع اليد لتطهير العقارات ممّا عليها من رهون(). واذا كان العقار غير مسجل فان هذا الحق يكون معرضا للالغاء اذا لم يقع التصريح به لدي المحكمة العقارية. كما ضبط الفصل 373 م. ح. ع الحقوق التي يطهر منها العقار بصدور حكم التسجيل ب",AR,Thu Feb 12 2026 15:48:51 GMT+0100 (heure normale d’Europe centrale)
31067cd3-0271-4d94-8e6d-c75dba29b731,"53FE~E.DOC",google_drive,"علي مصلحة الدائنين والشركاء"" رسالة ختم الدروس بالمعهد الاعلي للقضاء 1997. Ben Kraiem L.: Le syndic de la faillite mémoire pour l'obtention du diplôme d'études approfondies en sciences juridiques fondamentales 1995. Enneifer M. : La période suspecte, mémoire de D.E.A. Faculté de droit et de sc pol. De Tunis, 1976. ب- المقالات والملتقيات : 1- باللغة العربية : مقالات بمجلة القضاء والتشريع : الساسي بن حليمة : خواطر حول احكام الفسل 99، مجلة القضاء والتشريع فيفري 1986. صباح رمضانة، قانون الانقاذ والقا",MIXED,Thu Feb 12 2026 09:40:16 GMT+0100 (heure normale d’Europe centrale)
5d810ea7-9100-4027-acfb-57e665147a28,"5A1C~2.DOC",google_drive,"التسجيل لا يحتج به علي الغير الا بترسيمه بالسجل العقاري وابتداءً من تاريخ ذلك الترسيم()، فحكم التسجيل لا يلغيها بل يفقدها بعض حجيتها اذ تصبح غير قابلة للاحتجاج بها علي الغير الا بترسيمها بالسجل العقاري. * واما الصكوك والاتفاقات اللاحقة التي نشات بعد صدور حكم التسجيل وقبل اقامة الرسم العقاري، فتقدم لكاتب المحكمة العقارية الذي يضمنها بدفتر خاص حسب تاريخ ورودها ثم يحيلها مع النسخة التنفيذية لحكم التسجيل علي ادارة الملكية العقارية دون عرضها علي المحكمة وحافظ الملكية العقارية يتولي درسها وترسيمها عند",AR,Thu Feb 12 2026 15:48:49 GMT+0100 (heure normale d’Europe centrale)
5d810ea7-9100-4027-acfb-57e665147a28,"5A1C~2.DOC",google_drive,"او الموصي لهم التصرف القانوني في حق عيني مشمول بالتركة او بالوصية حسب الحال قبل ترسيم انتقال الملكية بالوفاة. ويترتّب عن عدم اشهار الامور الواردة بالفقرتين المذكورتين ان الحقوق العينية الواردة بها لا تكون حجّة فيما بين المعنيين بالامر انفسهم، ولا يترتب عن تلك الامور غير المرسمة سوي الالتزامات الشخصية""... وهذا الصّنف من الحقوق الذي لا يتكون الا بالترسيم وابتداء من تاريخ الترسيم يكون مشمولا بالمفعول التطهيري فيلغي اذا لم يقع التصريح به او اذا تم التصريح به لكن المحكمة لم تقض بتسجيله او لم تاذن بتر",AR,Thu Feb 12 2026 15:48:49 GMT+0100 (heure normale d’Europe centrale)
5d810ea7-9100-4027-acfb-57e665147a28,"5A1C~2.DOC",google_drive,"بالفقرة الثانية من الفصل 373 م.ح.ع لا ينسحب عليها المفعول التطهيري وهي : اوّلا : عقود تسويغ العقارات التي تتجاوز مدتها ثلاثة اعوام وكذلك عقود التسويغ التي تقل مدتها عن ذلك او عقود تجديده اذا كانت تخول الانتفاع بالعقار مدة تتجاوز نهايتها انقضاء السنة الثالثة من التاريخ الذي ابرمت فيه. علي ان عقود التسويغ التي تتجاوز مدتها ثلاثة اعوام والتي لم يقع ترسيمها يمكن الاحتجاج بها علي الغير الي انتهاء مدة الثلاثة اعوام الجارية في يوم ترسيم الصك او الحكم الذي تم بمقتضاه الانتفاع بالعقار. ثانيا : الصكوك وال",AR,Thu Feb 12 2026 15:48:49 GMT+0100 (heure normale d’Europe centrale)
5d810ea7-9100-4027-acfb-57e665147a28,"5A1C~2.DOC",google_drive,"علي نص قانوني سبق نسخه او تنقيحه بما صيره غير منطبق والقضاء بما يخالف حكما مدنيا مضاف للملف اتصل به القضاء واهمال الوثائق المظروفة بالملف والتي لها تاثير واضح علي وجه الفصل في القضية(). فان كانت هذه الحالات تعد اسبابا للرجوع علي العقار عن طريق المراجعة حسب الفصل 332 م.ح.ع، فانها يمكن ان تكون اسبابا لطلب التعويض علي معني الفصل 337م.ح.ع بشرط ان يترتب عنها ضرر للغير يتسبب في الغاء حق عيني ثابت للمتضرر. كما يعتبر اخفاء طالب التسجيل او المستفيد منه حقا عينيا عقاريا موظفا علي العقار المحكوم بتسجيله وح",AR,Thu Feb 12 2026 15:48:49 GMT+0100 (heure normale d’Europe centrale)
bfd1c212-c79f-458e-b408-5ceab07bf5d2,"Mémoire.doc",google_drive,"اليها برنامج الانقاذ. وفي اطار الاحالة نص الفصل 47 علي ما يلي :« يمكن ان تشمل الاحالة كل المؤسسة او فرعا من نشاطها او مجموعة من فروع متكاملة مع بيع كل الممتلكات التي لم تشملها الاحالة. وتحدد المحكمة العقود الجارية مع المؤسسة والضرورية لمواصلة نشاطها بناءا علي طلب مقدمي العروض». في نفس الاطار تقريبا نص الفصل 34 من قانون 25/5/1977 علي «ان حالة الافلاس والتصفية العدلية لا يترتب عليهما الحق المطلق في فسخ كراء العقارات المخصصة لتعاطي صناعة المطلوب او تجارته او صناعته اليدوية بما في ذلك العقارات والمح",AR,Thu Feb 12 2026 16:03:41 GMT+0100 (heure normale d’Europe centrale)
547dee93-821d-499b-a066-be77b608cf10,"Mémoire_emna.doc",google_drive,"2) ومن حيث قابليته للانتقال مستفيد غيـر المستفيـد يكون قابلا للتنقـل ام لا (فقـرة 3). الفقـــرة الاولي : صور الاعتماد المـوثق من حيث مدي قوة التـزام البنـك تختلف مـدي قـوة التزام البنك تجـاه المستفيـد بحسب ما اذا كان الاعتماد المـوثق قابلا للرجوع فيه (اولا) او غير قـابل للرجوع فيه (ثانيـا). اولا : الاعتمـاد القـابـل للرجــوع فيـــه يتولي البنك بامر من المشتري فتح اعتماد موثق لفائدة البائع المستفيد ويترك لنفسه خيار الرجوع في هـذا الاعتماد في اي وقت ولذلك فانه في صورة الاعتماد القابل للرجوع فيه لي",AR,Thu Feb 12 2026 16:03:19 GMT+0100 (heure normale d’Europe centrale)
547dee93-821d-499b-a066-be77b608cf10,"Mémoire_emna.doc",google_drive,"باعلان رجوعه في الاعتماد فليس له ان يمتنع عن تنفيـذه، اذا نفذ البائع التزامه وتقدم بالوثائق. ان هـذا الراي يتاكد بمراجعة الفصل 8 من القواعد الموحدة الذي ينص علي انه يمكن ان يعدل الاعتماد القابل للرجوع فيه او يلغي بواسطة البنك فاتح الاعتماد في اي وقت وبدون اخطار مسبق للمستفيـد. ومع ذلك يلتزم البنك فاتح الاعتماد بما يلـي : (ا) ان يدفع القيمة للبنك الذي كلف بدفع القيمة او القبول او التداول اذا كان قد قام بذلك قبل ان يتسلم الاخطار بالغـاء الاعتمـاد او بتعديلـه وتم الدفع مقـابل مستندات مطابقة في ظاهر",AR,Thu Feb 12 2026 16:03:19 GMT+0100 (heure normale d’Europe centrale)
ce11b82f-f6de-4ebb-a51d-724216c16d7b,"إنقضاء حق الانتفاع.doc",google_drive,"راي المشرع ان ينهي هذا الوضع بموت المنتفع حتي تجتمع الملكية بكامل عناصرها بيد مالك الرقبة وحده. و يطرح في هذا الاطار السؤال التالي: هل يجوز تقييد الانتفاع بشرط ما او تعليقه علي اجل معين؟ يري الفقه انه يجوز انشاء حق الانتفاع منجزا او مقترنا بشرط واقف، او شرط فاسخ، او مضافا الي اجل واقف. فاذا كان العقد المولّد لحق الانتفاع منجزا, انتج اثره في الحال و استحق المنتفع منافع الشيء من تاريخ انشاء حق الانتفاع. اما اذا كان معلقا علي شرط او مضافا الي اجل، فان انتفاع المنتفع لا يبدا الا عند تحقق الشرط او حل",AR,Thu Feb 12 2026 15:49:00 GMT+0100 (heure normale d’Europe centrale)
6dd90dfa-b9d8-454e-acbb-fa3ae80ce0c2,"الأداء على القيمة المضافة في عقود مؤسسات البعث العقاري.doc",google_drive,"للمطالب بالاداء لمراقبة عمليات تستوجب خبرة فنية خاصة في مجال البعث العقاري فالتهيئة و التقسيم و البناء و حتي بيع العقارات هي عمليات تقنية وفنية تتطلب خبرة لا يتميع بها اعوان ادارة الجباية. و نظرا لخطورتها، تخضع المراجعة المعمقة وجوبا للاعلام المسبق الذي يتم بالمقر الاصلي او المختار للباعث العقاري. ويفرض المشرع تنصيصات وجوبية في هذا الاعلام منها حق المطالب بالاداء في الاستعانة خلال عملية المراجعة و مناقشة نتائجها لمن يختاره او في انابة وكيل عنه، بالاضافة الي الاداء و الفترة التي ستشملها عملية الم",AR,Thu Feb 12 2026 15:48:54 GMT+0100 (heure normale d’Europe centrale)
6dd90dfa-b9d8-454e-acbb-fa3ae80ce0c2,"الأداء على القيمة المضافة في عقود مؤسسات البعث العقاري.doc",google_drive,"وفي حالة قبول الدعوي اصلا ومن حيث الشكل فان الحكم فيها يلغي القرار و يعيد الحالة الي ما كانت عليه قبل صدوره علي انه يلغي كل الاثار القانونية المترتبة عنه. -ب- طلب الاعتراض علي قرار التوظيف الاجباري : هذه الامكانية جاء بها الفصل 51 من مجلة الحقوق و الاجراءات الجبائية، هذه المجلة ضبطت اجراءات هذا الاعتراض و الاثار التي يمكن ان يرتبها. و الاعتراض علي قرار التوظيف الاجباري يمكن ان يتسلط علي الاصل الاداء الموظف او علي الخطايا المتعلقة به. ويرفع الطلب امام المحكمة الابتدائية التي يوجد بدائرتها المصلحة",AR,Thu Feb 12 2026 15:48:54 GMT+0100 (heure normale d’Europe centrale)
04f0d6f3-9955-47ea-9395-8d15f8ceb827,"الإشكاليات المطروحة أثناء فترة المسح.doc",google_drive,"ما يستلزم تطورا في التشريع المتعلق بالمسح العقاري واضفاء مزيدا من الضمانات الحمائية. المبحث الثاني: الاشكالات المطروحة عند تنفيذ الحكم المسحي ان صدور الاحكام العقارية بالتسجيل لا يؤدي فقط الي تغيير النظام القانوني للعقار بل انه يشكل ولادة جديدة لهذا العقار ويمثل تحولا كاملا من وضعية الي وضعية اخري . وبالتالي يجوز القول ان اثار صدور الحكم بالتسجيل تفترض تجسيدا ناجعا لهاته الولادة الجديدة وتفترض اعتناءا تشريعيا واداريا لتحقيق الغاية من احكام التسجيل والتي يمكن تبين مظاهرها من خلال ما اقره المشرع م",AR,Thu Feb 12 2026 09:33:28 GMT+0100 (heure normale d’Europe centrale)
8014cd2b-4157-44f1-ae9b-8391bc9a0ab5,"الجزء الثاني.doc",google_drive,"الـــجـــــزء الثانــــــي : سقــــــوط العقــــــــاب بعدم تنفيـــذه لاسباب شخصيــــة يسقط العقاب في بعض الحالات بعدم تنفيذه وذلك لاسباب شخصية، ونقصد بالاسباب الشخصية تلك الاسباب المبنية علي اعتبارات شخصيّة، اي تلك التي يقع الاخذ فيها بعين الاعتبار شخص المحكوم عليه او شخص طالب التتبع، وبقطع النظر عن موضوع الجريمة. فمعيار سقوط العقاب والدافع الرئيسي اليه هو شخص المحكوم عليه او شخص طالب التتبع وسقوط العقاب في هذه الحالة ينتفع به شخص بعينه ولا يستفيد به سواه ولو كان فاعلا اصليا او شريكا له في الجر",AR,Wed Feb 11 2026 21:21:50 GMT+0100 (heure normale d’Europe centrale)
8014cd2b-4157-44f1-ae9b-8391bc9a0ab5,"الجزء الثاني.doc",google_drive,"وهذا يمكننا من القول بان الاسقاط ينحصر ميدان انطباقه في مادة الجنح فقط ولا يتعداه الي مادّة الجنايات. بقي ان نتسائل عن الاشخاص الذين يحق لهم الاسقاط فمن هم هؤلاء الاشخـــاص؟ بالرّجوع لاحكام الفصل 218 م.ج نتبين ان الاسقاط في جرائم العنف العائلي قد يكون من السلف او من الزوج. والسلف يعني الاباء والامهات وان علوا وهو ضد الخلف الذي يعني الابناء والبنات وان سفلوا. فالخلف عندما يعتدي بالعنف علي السلف يجوز لهذا الاخير ان يسقط حقه في التتبع وحتي اثناء مرحلة تنفيذ العقاب، فالاسقاط في هذه المرحلة يبرّا ذمة",AR,Wed Feb 11 2026 21:21:50 GMT+0100 (heure normale d’Europe centrale)
d2c83dc3-e992-4d26-ac4b-b5cf589099c9,"الصلح بالوساطة.docx",google_drive,"ناصا علي عبارة "" من انجر له حق منه "" لان من اثار اﻹلتزامات حسب مجلة اﻹتزامات والعقود ان تنسحب علي الخلف العام والخاص (28) حيث نص الفصل 241 م اع ان""اﻹلتزامات لا تجري احكامها علي المتعاقدين فقط بل تجري ايضا علي ورثتهم وعلي من ترتب له حق منهم .... "" كما تجدر الملاحظة ان المشرع الجزائي ولئن الغي انصراف اثار العقد للغير الا انه لم يلغي انصرافه للخلف العام او الخلف الخاص كما سبق بيانه علي انه من الوجيه في هذا اﻹطار عدم الخلط بين الغير والخلف العام والخلف الخاص حيث ان الغير (1) هو ذلك الشخص الاجنبي تما",AR,Tue Feb 10 2026 11:08:22 GMT+0100 (heure normale d’Europe centrale)
4448e313-c49c-4aab-b2be-1c3c7dcf0197,"الــمــخــطّــط 3.docx",google_drive,"طلب التعقيب في الاحكام القاضية بالتسجيل، فكان لا بد ان تخضع هذه الترسيمات ايضا لنفس المبدا تبعا لقاعدة التابع يتبع المتبوع، و بما ان الترسيمات المتزامنة هي جزء من حكم التسجيل و مشمولة بمنطوق الحكم العقاري فلا بد ان تخضع للتعقيب العقاري. ــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ رمزي ساسي المرجع المذكور ص 84 . الطعن بالتعقيب في احكام التسجيل العقاري ــــــــــــــــــــــــــــ بناء علي ما تقدم التعقيب العقاري يتسلط علي ",AR,Mon Feb 09 2026 16:56:05 GMT+0100 (heure normale d’Europe centrale)
4448e313-c49c-4aab-b2be-1c3c7dcf0197,"الــمــخــطّــط 3.docx",google_drive,"لشخص واحد، فيمكن الغاء احد الحكمين، اما الحالة الثانية تثير اشكالا وهي صدور حكمين لشخصين مختلفين و بذلك يجوز الغاء احد الحكمين الذي يكون بالطعن في احد الحكمين وبالتالي الحكم الذي سيصدر بعد الطعن سوف يلغي ملكية احد الطرفين . اما الحالة الثانية المنقلة عن حالات المراجعة هي الحالة السابعة، حيث جاء بالفصل 357 مكرر من مجلة الحقوق العينية انه ""سابعا : اذا انبني الحكم المطعون فيه علي ادلة ثبت جزائيا زورها او تدليسما بحكم نهائي و يقبل التعقيب اذ ثبت اكتساب ملكية العقار من الغير حسن نية "" هذه الحالة تمكن",AR,Mon Feb 09 2026 16:56:05 GMT+0100 (heure normale d’Europe centrale)
349b7b82-2913-4fc5-988f-9b2ed514d28c,"محاضرة الأستاذ رياض سويد.doc",google_drive,". الجــزء الثــاني: الاثار القانونية للاعتراض لقد نص الفصل 180 من م ا ج علي ان: *الاعتراض يوقف التنفيذ *. كما نص الفصل 182 من م. ا.ج بفقرته الاولي علي انه : * اذا حضر المعترض وكان اعتراضه مقبولا شكلا فان الحكم يلغي بالنسبة لجميع الاوجه المعترض في شانها . * و المتامل في احكام هذين الفصلين يستنتج امرين اثنين : الامر الاول : ان عبارة الاعتراض الواردة بالفصلين المذكورين قد وردت عامة بحيث تنسحب علي جميع الاحكام دون استثناء سواء كانت ابتدائية الدرجة او نهائية كما تشمل ايضا الحكم الغيابي بفرعيه الجزائي",AR,Thu Feb 12 2026 09:48:37 GMT+0100 (heure normale d’Europe centrale)
349b7b82-2913-4fc5-988f-9b2ed514d28c,"محاضرة الأستاذ رياض سويد.doc",google_drive,"المحكوم به هو الاعدام فان المعترض يسجن، و لا ينفذ العقاب الا بعد البت في الاعتراض .* وهذا الاستثناء الذي اقره المشرع في خصوص الجرائم التي تكتسي صبغة الجنايات املته خطورة هذه الجرائم علي المجتمع وخطورة مقترفيها بحيث تستدعي التدخل السريع لردعهم و الزج بهم بالسجن بمجرد القاء القبض عليهم. اما اذا كان الحكم الغيابي قد قضي بعقوبة الاعدام فانه يقع ايداع المحكوم عليه بالسجن حال القاء القبض عليه. الا ان اعتراضه علي ذلك الحكم يوقف تنفيذه و لا ينفذ عليه الا بعد البت في مطلب الاعتراض. *الحكم الغيابي القاضي ",AR,Thu Feb 12 2026 09:48:37 GMT+0100 (heure normale d’Europe centrale)
349b7b82-2913-4fc5-988f-9b2ed514d28c,"محاضرة الأستاذ رياض سويد.doc",google_drive,"تطبيقا لمبدا عدم جواز المعارضة علي المعارضة الا انه يبقي قابلا للطعن بوجه الاستئناف تطبيقا لاحكام الفصل 183 من كم ا ج الذي نص علي انه :* اذا لم يحضر المعترض يحكم برفض اعتراضه بدون تامل في الاصل و لا يتسني له الطعن في هذا الحكم الا بطريق الاستئناف . * - ان الاثر الالغائي للحكم الغيابي يبتدئ مفعوله من تاريخ الحكم بقبول الاعتراض شكلا بخلاف الاثر التعليقي الذي تنتج اثاره بمجرد التصريح بالمعارضة امام كتابة المحكمة اي قبل البت في مطلب الاعتراض . ويختلف القانوني التونسي في هذه المسالة مع عدة قوانين اخر",AR,Thu Feb 12 2026 09:48:37 GMT+0100 (heure normale d’Europe centrale)
349b7b82-2913-4fc5-988f-9b2ed514d28c,"محاضرة الأستاذ رياض سويد.doc",google_drive,"كما انه اذا كان الحكم الغيابي يقضي بالنفاذ العاجل بالنسبة للعقوبة البدنية تطبيقا لاحكام الفصل 173 من م ا ج فان التصريح بقبول الاعتراض شكلا يلغي مضمون ذلك الحكم و يصبح المعترض بحالة سراح ان وقع تقديمه للمحكمة بحالة ايقاف اثر تنفيذ منشور التفتيش او تقدم المعترض تلقائيا اليها . الا انه يمكن للمحكمة بعد النظر مجددا في القضية ان تحكم عليه بحكم جديد يقضي مضمونه بالنفاذ العاجل كما يكنها ان تصدر في شانه بطاقة ايداع في حالة تاخير القضية لاي سبب كان تطبيقا لاحكام الفصلين 173 و الفصل169 من م ا ج الذي نص في",AR,Thu Feb 12 2026 09:48:37 GMT+0100 (heure normale d’Europe centrale)
349b7b82-2913-4fc5-988f-9b2ed514d28c,"محاضرة الأستاذ رياض سويد.doc",google_drive,"لها . وحيث ان تمسك الطاعن من ان كاتب المحكمة ملزم بعد ذلك باعلام المعترض شخصيا بموعد الجلسة وهو تاويل فاقد للاساس القانوني ومخالف لمقتضيات الفصل 175 من م.ا.ج والقواعد المعمول بها في مادة الاعلام بالجلسات و بالاحكام ومتعذر التنفيذ بما يؤدي الي تعطيل صدور الاحكام او تعطيل تنفيذها . فالفصل 175 من م ا ج اوجب علي كاتب المحكمة اعلام المعترض و لم يوجب ان يكون الاعلام شخصيا فينصرف للمعني الاصطلاحي و هو الاعلام القانوني فيتم الاعلام للشخص نفسه او بواسطة و الواسطة في هذه الحالة هو النائب الذي قدم الاعتراض",AR,Thu Feb 12 2026 09:48:37 GMT+0100 (heure normale d’Europe centrale)
